Wavelength (nm),Absorbance (AU) 2024-09-25 00:01:10,Absorbance (AU) 2024-09-25 00:16:19,Absorbance (AU) 2024-09-25 00:31:29,Absorbance (AU) 2024-09-25 00:46:39,Absorbance (AU) 2024-09-25 01:01:48,Absorbance (AU) 2024-09-25 01:16:58,Absorbance (AU) 2024-09-25 01:32:07,Absorbance (AU) 2024-09-25 01:47:17,Absorbance (AU) 2024-09-25 02:02:26,Absorbance (AU) 2024-09-25 02:17:36,Absorbance (AU) 2024-09-25 02:32:46,Absorbance (AU) 2024-09-25 02:47:55,Absorbance (AU) 2024-09-25 03:03:05,Absorbance (AU) 2024-09-25 03:18:14,Absorbance (AU) 2024-09-25 03:33:24,Absorbance (AU) 2024-09-25 03:48:33,Absorbance (AU) 2024-09-25 04:03:43,Absorbance (AU) 2024-09-25 04:18:53,Absorbance (AU) 2024-09-25 04:34:02,Absorbance (AU) 2024-09-25 04:49:12,Absorbance (AU) 2024-09-25 05:04:22,Absorbance (AU) 2024-09-25 05:19:31,Absorbance (AU) 2024-09-25 05:34:41,Absorbance (AU) 2024-09-25 05:49:50,Absorbance (AU) 2024-09-25 06:05:00,Absorbance (AU) 2024-09-25 06:20:09,Absorbance (AU) 2024-09-25 06:35:19,Absorbance (AU) 2024-09-25 06:50:29,Absorbance (AU) 2024-09-25 07:05:38,Absorbance (AU) 2024-09-25 07:20:48,Absorbance (AU) 2024-09-25 07:35:58,Absorbance (AU) 2024-09-25 07:51:07,Absorbance (AU) 2024-09-25 08:06:17,Absorbance (AU) 2024-09-25 08:21:26,Absorbance (AU) 2024-09-25 08:36:36,Absorbance (AU) 2024-09-25 08:51:46,Absorbance (AU) 2024-09-25 09:06:55,Absorbance (AU) 2024-09-25 09:22:05,Absorbance (AU) 2024-09-25 09:37:14,Absorbance (AU) 2024-09-25 09:52:24,Absorbance (AU) 2024-09-25 10:07:34,Absorbance (AU) 2024-09-25 10:22:43,Absorbance (AU) 2024-09-25 10:37:53,Absorbance (AU) 2024-09-25 10:53:03,Absorbance (AU) 2024-09-25 11:08:12,Absorbance (AU) 2024-09-25 11:23:22,Absorbance (AU) 2024-09-25 11:38:32,Absorbance (AU) 2024-09-25 11:53:41,Absorbance (AU) 2024-09-25 12:08:51,Absorbance (AU) 2024-09-25 12:24:00,Absorbance (AU) 2024-09-25 12:39:10,Absorbance (AU) 2024-09-25 12:54:16,Absorbance (AU) 2024-09-25 13:09:25,Absorbance (AU) 2024-09-25 13:24:35,Absorbance (AU) 2024-09-25 13:39:45,Absorbance (AU) 2024-09-25 13:54:54,Absorbance (AU) 2024-09-25 14:10:04,Absorbance (AU) 2024-09-25 14:25:13,Absorbance (AU) 2024-09-25 14:40:23,Absorbance (AU) 2024-09-25 14:55:33,Absorbance (AU) 2024-09-25 15:10:42,Absorbance (AU) 2024-09-25 15:25:52,Absorbance (AU) 2024-09-25 15:41:02,Absorbance (AU) 2024-09-25 15:56:11,Absorbance (AU) 2024-09-25 16:11:21,Absorbance (AU) 2024-09-25 16:26:31,Absorbance (AU) 2024-09-25 16:41:41
901.841506,1.691601,1.693784,1.691843,1.68014,1.685833,1.688467,1.694514,1.693541,1.690393,1.686072,1.712415,1.686789,1.698675,1.698429,1.690876,1.695002,1.695734,1.693541,1.695245,1.687747,1.701141,1.694027,1.706366,1.691843,1.695734,1.688467,1.700153,1.698675,1.705616,1.708122,1.713686,1.706616,1.711148,1.711148,1.715472,1.717779,1.709885,1.715217,1.706116,1.732148,1.728182,1.717265,1.711908,1.711908,1.713686,1.705616,1.724773,1.723991,1.720098,1.722949,1.683689,1.720615,1.732413,1.723469,1.728445,1.734545,1.730557,1.718293,1.712923,1.710642,1.70938,1.720615,1.729236,1.724251,1.733744,1.722429,1.73965
904.394392,1.680752,1.687116,1.679401,1.686201,1.687345,1.683468,1.684605,1.683468,1.688951,1.686429,1.694039,1.682334,1.685972,1.681882,1.69497,1.680527,1.691487,1.687345,1.682787,1.688032,1.690563,1.69195,1.697776,1.691256,1.694039,1.682334,1.702257,1.694039,1.70131,1.699422,1.705589,1.709187,1.708706,1.708946,1.712573,1.711118,1.707744,1.707264,1.706785,1.708706,1.710152,1.716719,1.709428,1.707984,1.705589,1.706546,1.70991,1.72289,1.73016,1.722393,1.658758,1.727639,1.71967,1.724135,1.724883,1.725133,1.732441,1.705111,1.707984,1.711603,1.715007,1.715985,1.71721,1.730413,1.72289,1.728646,1.729907
905.670145,1.688284,1.6761,1.681154,1.676756,1.676975,1.686043,1.68337,1.680491,1.673486,1.680491,1.676537,1.692801,1.68226,1.691668,1.674791,1.682704,1.685597,1.686938,1.686267,1.693938,1.694849,1.693256,1.680933,1.689635,1.698514,1.690537,1.686043,1.692121,1.701283,1.69371,1.690086,1.697366,1.691894,1.702907,1.698514,1.706641,1.702907,1.716118,1.710407,1.707579,1.712065,1.707814,1.700358,1.708755,1.706172,1.703837,1.711828,1.71254,1.71088,1.719244,1.660017,1.718521,1.71254,1.721178,1.71828,1.725318,1.724096,1.709227,1.7154,1.713253,1.707814,1.711591,1.720452,1.721178,1.729992,1.734467,1.722149
908.220269,1.669452,1.666378,1.66597,1.677127,1.665358,1.675456,1.670481,1.673376,1.671513,1.673169,1.679857,1.684941,1.678805,1.673584,1.679225,1.669863,1.683452,1.685581,1.678595,1.6807,1.690949,1.675665,1.6807,1.677546,1.681334,1.683452,1.684515,1.691166,1.695948,1.693767,1.690949,1.696166,1.702555,1.693333,1.698798,1.699459,1.698798,1.700783,1.70012,1.704557,1.697919,1.703888,1.694856,1.701447,1.701004,1.701225,1.706344,1.704557,1.710844,1.710392,1.660497,1.719757,1.714479,1.715621,1.722769,1.723234,1.713795,1.694638,1.692248,1.707016,1.703221,1.715621,1.712658,1.730509,1.720219,1.725802,1.719065
910.768552,1.668797,1.671548,1.664702,1.660646,1.677103,1.668405,1.666452,1.66354,1.666452,1.666647,1.671548,1.673722,1.67017,1.673524,1.67293,1.671942,1.676106,1.673722,1.676904,1.668014,1.678303,1.679908,1.678704,1.68354,1.672337,1.677503,1.683946,1.688227,1.680914,1.683743,1.69193,1.681922,1.690074,1.686183,1.692136,1.692343,1.704294,1.694832,1.697335,1.700906,1.695248,1.691517,1.69028,1.690486,1.701328,1.686387,1.706425,1.713098,1.707709,1.699432,1.661031,1.708138,1.71115,1.716365,1.714837,1.713315,1.708996,1.701962,1.698173,1.691723,1.692757,1.707067,1.711366,1.712232,1.711366,1.716583,1.713967
913.314994,1.660284,1.66396,1.664699,1.657002,1.656639,1.665995,1.666366,1.669907,1.664884,1.666737,1.665995,1.67197,1.665254,1.669159,1.659187,1.664699,1.668785,1.659187,1.66804,1.672534,1.661567,1.676506,1.671782,1.681281,1.66396,1.673099,1.677076,1.680705,1.683592,1.685722,1.689229,1.677266,1.69613,1.686888,1.685334,1.687277,1.690404,1.688642,1.690404,1.694741,1.694345,1.693752,1.691386,1.6906,1.696926,1.687862,1.700525,1.698722,1.704965,1.700525,1.659918,1.699923,1.704155,1.70375,1.702336,1.706387,1.710682,1.696528,1.689033,1.691386,1.698922,1.699723,1.708427,1.702336,1.711094,1.706795,1.712123
915.859594,1.664892,1.669993,1.666996,1.659679,1.658643,1.666996,1.662104,1.659506,1.668051,1.668932,1.672654,1.66682,1.671055,1.66682,1.669109,1.667699,1.665417,1.673188,1.676767,1.669109,1.672832,1.673188,1.669462,1.67301,1.670878,1.676588,1.677307,1.682192,1.679652,1.688976,1.683832,1.678207,1.688791,1.684015,1.695868,1.687132,1.693434,1.692315,1.688238,1.695305,1.694182,1.695493,1.693061,1.693621,1.689161,1.69662,1.701728,1.700588,1.694182,1.70249,1.651126,1.701348,1.711934,1.706705,1.708441,1.711155,1.715652,1.694743,1.6875,1.689161,1.697562,1.698127,1.707862,1.715455,1.712909,1.706512,1.704018
918.402353,1.67467,1.671976,1.670302,1.667801,1.663831,1.663831,1.667303,1.675684,1.663666,1.6683,1.675684,1.670134,1.673321,1.673489,1.673826,1.673489,1.675515,1.672984,1.679765,1.673489,1.674501,1.679594,1.675177,1.676701,1.679594,1.67687,1.68062,1.691366,1.687522,1.69119,1.690139,1.684921,1.686306,1.68944,1.68944,1.698977,1.695952,1.703826,1.700408,1.6933,1.697729,1.694712,1.695066,1.696307,1.695243,1.69862,1.705817,1.700767,1.705454,1.702744,1.65535,1.704006,1.712397,1.714058,1.709826,1.71295,1.708912,1.696307,1.68944,1.700408,1.704549,1.704187,1.713503,1.713319,1.717398,1.719453,1.717771
920.943271,1.682488,1.678939,1.681194,1.674941,1.673986,1.674145,1.672876,1.682974,1.671926,1.6791,1.677335,1.68265,1.679421,1.687539,1.681356,1.680226,1.68574,1.682164,1.686884,1.687211,1.685577,1.681356,1.686067,1.68672,1.686557,1.678136,1.687867,1.687539,1.696146,1.690829,1.703394,1.686557,1.697989,1.697821,1.702375,1.706636,1.698829,1.707664,1.704245,1.708696,1.706122,1.706807,1.706464,1.706293,1.710247,1.702545,1.717034,1.715983,1.720203,1.719321,1.662852,1.711111,1.715808,1.719144,1.725357,1.712671,1.721619,1.70818,1.703564,1.696648,1.712151,1.707664,1.719321,1.724821,1.723751,1.725715,1.724108
923.482347,1.700093,1.698525,1.696807,1.691693,1.698995,1.697431,1.695562,1.696496,1.70025,1.692156,1.703404,1.70025,1.695406,1.698525,1.704831,1.704038,1.698056,1.70293,1.702614,1.704038,1.697431,1.707379,1.708659,1.699779,1.706103,1.70499,1.708339,1.713168,1.71414,1.719691,1.716743,1.715602,1.713006,1.714952,1.719198,1.722824,1.719198,1.725814,1.720678,1.724483,1.728153,1.726147,1.719691,1.719527,1.72002,1.722494,1.727651,1.730505,1.734058,1.733548,1.687859,1.734737,1.730337,1.734737,1.740733,1.73593,1.744022,1.724981,1.72002,1.721337,1.728992,1.721833,1.736784,1.735589,1.738496,1.742461,1.740905
