Wavelength (nm),Absorbance (AU) 2024-09-27 00:00:04,Absorbance (AU) 2024-09-27 00:15:10,Absorbance (AU) 2024-09-27 00:30:16,Absorbance (AU) 2024-09-27 00:45:22,Absorbance (AU) 2024-09-27 01:00:28,Absorbance (AU) 2024-09-27 01:15:34,Absorbance (AU) 2024-09-27 01:30:40,Absorbance (AU) 2024-09-27 01:45:46,Absorbance (AU) 2024-09-27 02:00:52,Absorbance (AU) 2024-09-27 02:15:58,Absorbance (AU) 2024-09-27 02:31:04,Absorbance (AU) 2024-09-27 02:46:10,Absorbance (AU) 2024-09-27 03:01:16,Absorbance (AU) 2024-09-27 03:16:22,Absorbance (AU) 2024-09-27 03:31:28,Absorbance (AU) 2024-09-27 03:46:34,Absorbance (AU) 2024-09-27 04:01:40,Absorbance (AU) 2024-09-27 04:16:46,Absorbance (AU) 2024-09-27 04:31:52,Absorbance (AU) 2024-09-27 04:46:57,Absorbance (AU) 2024-09-27 05:02:03,Absorbance (AU) 2024-09-27 05:17:09,Absorbance (AU) 2024-09-27 05:32:15,Absorbance (AU) 2024-09-27 05:47:21,Absorbance (AU) 2024-09-27 06:02:27,Absorbance (AU) 2024-09-27 06:17:33,Absorbance (AU) 2024-09-27 06:32:39,Absorbance (AU) 2024-09-27 06:47:45,Absorbance (AU) 2024-09-27 07:02:51,Absorbance (AU) 2024-09-27 07:17:57,Absorbance (AU) 2024-09-27 07:33:03,Absorbance (AU) 2024-09-27 07:48:09,Absorbance (AU) 2024-09-27 08:03:15,Absorbance (AU) 2024-09-27 08:18:21,Absorbance (AU) 2024-09-27 08:33:27,Absorbance (AU) 2024-09-27 08:48:33,Absorbance (AU) 2024-09-27 09:03:39,Absorbance (AU) 2024-09-27 09:18:45,Absorbance (AU) 2024-09-27 09:33:51,Absorbance (AU) 2024-09-27 09:48:57,Absorbance (AU) 2024-09-27 10:04:03,Absorbance (AU) 2024-09-27 10:19:09,Absorbance (AU) 2024-09-27 10:34:15,Absorbance (AU) 2024-09-27 10:49:21,Absorbance (AU) 2024-09-27 11:04:27,Absorbance (AU) 2024-09-27 11:19:33,Absorbance (AU) 2024-09-27 11:34:39,Absorbance (AU) 2024-09-27 11:49:45,Absorbance (AU) 2024-09-27 12:04:51,Absorbance (AU) 2024-09-27 12:19:57,Absorbance (AU) 2024-09-27 12:35:03,Absorbance (AU) 2024-09-27 12:50:10,Absorbance (AU) 2024-09-27 13:05:15,Absorbance (AU) 2024-09-27 13:20:22,Absorbance (AU) 2024-09-27 13:35:28,Absorbance (AU) 2024-09-27 13:50:34,Absorbance (AU) 2024-09-27 14:05:40,Absorbance (AU) 2024-09-27 14:20:46,Absorbance (AU) 2024-09-27 14:35:52,Absorbance (AU) 2024-09-27 14:50:58,Absorbance (AU) 2024-09-27 15:06:04,Absorbance (AU) 2024-09-27 15:21:10,Absorbance (AU) 2024-09-27 15:36:16,Absorbance (AU) 2024-09-27 15:51:22,Absorbance (AU) 2024-09-27 16:06:28,Absorbance (AU) 2024-09-27 16:21:34
901.841506,1.654741,1.659434,1.669434,1.670124,1.68274,1.669894,1.67336,1.681556,1.68132,1.681793,1.684403,1.68132,1.687747,1.68274,1.679199,1.678494,1.667369,1.66327,1.673128,1.668974,1.67197,1.668515,1.669894,1.671508,1.664405,1.672433,1.668744,1.670124,1.679669,1.673824,1.674987,1.67197,1.67197,1.67779,1.668286,1.669894,1.670815,1.679199,1.662591,1.67336,1.671277,1.666455,1.671739,1.679905,1.662364,1.66327,1.679669,1.686789,1.679199,1.678259,1.674754,1.68014,1.67336,1.68274,1.67522,1.664405,1.680376,1.670124,1.668974,1.673592,1.671046,1.673824,1.688948,1.673128,1.67197,1.674754
904.394392,1.659187,1.662203,1.670276,1.663936,1.668518,1.670496,1.680076,1.672041,1.671599,1.679401,1.666985,1.686658,1.690102,1.685288,1.68506,1.669836,1.666112,1.666112,1.667641,1.672484,1.660692,1.666112,1.66524,1.664805,1.65534,1.668298,1.663069,1.672263,1.65449,1.670717,1.669176,1.670937,1.668957,1.670717,1.666766,1.673148,1.660477,1.672927,1.661123,1.664805,1.665458,1.665458,1.665676,1.661555,1.666766,1.670056,1.67182,1.673592,1.671158,1.675817,1.682108,1.677381,1.669396,1.674036,1.673148,1.668518,1.682334,1.666766,1.665022,1.666112,1.682108,1.667641,1.675594,1.665676,1.671158,1.668737
905.670145,1.652918,1.651058,1.65708,1.664035,1.669165,1.664248,1.666806,1.682925,1.666593,1.67829,1.671753,1.670457,1.675227,1.689635,1.67829,1.665312,1.670457,1.669165,1.665739,1.660649,1.659176,1.656453,1.668091,1.659596,1.661493,1.664035,1.66702,1.671536,1.668735,1.662762,1.672185,1.664461,1.66895,1.674791,1.668735,1.661282,1.664461,1.660649,1.664461,1.661493,1.667663,1.661916,1.665525,1.661493,1.655202,1.675009,1.66852,1.667448,1.669595,1.676318,1.675445,1.674356,1.668091,1.656244,1.662762,1.667448,1.66852,1.666593,1.664673,1.670673,1.663823,1.662339,1.662974,1.664461,1.666165,1.66895
908.220269,1.638886,1.653305,1.661909,1.658688,1.656088,1.659893,1.66597,1.669657,1.666174,1.671926,1.665155,1.667605,1.675039,1.671306,1.670275,1.659491,1.660698,1.653503,1.656886,1.652711,1.656487,1.661909,1.655291,1.658086,1.661505,1.653107,1.653305,1.658688,1.652909,1.663935,1.653503,1.661909,1.663732,1.656088,1.661303,1.652513,1.652118,1.657686,1.656088,1.652118,1.659491,1.64838,1.664341,1.660698,1.659089,1.658487,1.664951,1.671926,1.666787,1.661303,1.669657,1.66822,1.670275,1.660497,1.65192,1.661101,1.666378,1.658086,1.664138,1.658287,1.665562,1.666787,1.669452,1.664138,1.657286,1.6539
910.768552,1.634351,1.645347,1.654537,1.665285,1.656247,1.655296,1.650763,1.667623,1.658154,1.658537,1.664315,1.656628,1.664121,1.667233,1.664315,1.652835,1.649824,1.650763,1.653213,1.652646,1.653969,1.649637,1.654158,1.654727,1.653591,1.661223,1.655486,1.663346,1.652269,1.653969,1.659111,1.655866,1.655866,1.65208,1.646276,1.645161,1.653591,1.647207,1.654537,1.651515,1.64758,1.647953,1.653591,1.652457,1.651703,1.649262,1.654158,1.659111,1.668014,1.663346,1.673128,1.658345,1.657009,1.654727,1.651139,1.651892,1.658919,1.655676,1.652835,1.646834,1.661223,1.653591,1.651703,1.657009,1.651139,1.649824
913.314994,1.629212,1.634181,1.648192,1.648905,1.648014,1.65087,1.657002,1.658093,1.653024,1.652485,1.652485,1.660467,1.660284,1.661567,1.662118,1.645177,1.649797,1.643589,1.645177,1.649797,1.650691,1.646593,1.645,1.644117,1.643237,1.654106,1.648905,1.644117,1.642885,1.64944,1.652305,1.647303,1.645707,1.653024,1.651228,1.644294,1.649797,1.650512,1.642182,1.648014,1.64447,1.640605,1.64837,1.652126,1.647658,1.643589,1.655914,1.659553,1.662118,1.660284,1.665624,1.662302,1.656276,1.643941,1.657547,1.655552,1.663038,1.646948,1.653024,1.646239,1.651946,1.639034,1.651049,1.649083,1.653745,1.64944
915.859594,1.640749,1.63729,1.636962,1.648424,1.657267,1.652483,1.651804,1.659852,1.65028,1.651974,1.658643,1.66089,1.66193,1.665242,1.667171,1.648256,1.647583,1.649604,1.645071,1.655552,1.651974,1.648256,1.654186,1.652653,1.645405,1.651974,1.645238,1.654698,1.64792,1.651804,1.651804,1.649942,1.652993,1.644904,1.643404,1.648088,1.649267,1.652823,1.641411,1.653163,1.649773,1.652313,1.645238,1.645238,1.652653,1.652143,1.657783,1.661236,1.662104,1.664194,1.668756,1.66193,1.652143,1.647752,1.649942,1.64792,1.657267,1.649267,1.653674,1.650618,1.650787,1.651804,1.649773,1.652653,1.651634,1.651295
918.402353,1.644504,1.645292,1.647983,1.653255,1.655996,1.660713,1.657455,1.667801,1.659081,1.662023,1.663501,1.669967,1.666142,1.6688,1.666639,1.652773,1.660713,1.653577,1.659406,1.655673,1.650372,1.657617,1.652132,1.653738,1.652132,1.655835,1.656158,1.657292,1.655673,1.653416,1.656968,1.654382,1.657292,1.658755,1.652613,1.653416,1.646398,1.653577,1.650532,1.655835,1.649893,1.647032,1.659733,1.658592,1.654382,1.651811,1.663172,1.668467,1.666474,1.670302,1.671473,1.671138,1.659733,1.650532,1.653738,1.651971,1.670134,1.657292,1.651491,1.662351,1.655027,1.658267,1.652773,1.658267,1.649096,1.654704
920.943271,1.650489,1.654571,1.654571,1.668148,1.664403,1.661461,1.665492,1.674781,1.65992,1.669247,1.673351,1.674622,1.677816,1.680871,1.681033,1.662543,1.664714,1.658998,1.664248,1.662852,1.662852,1.667992,1.666428,1.662233,1.661461,1.666428,1.665181,1.667992,1.659613,1.664248,1.662233,1.661615,1.661152,1.665804,1.662697,1.665336,1.665336,1.663317,1.659613,1.661615,1.661615,1.659306,1.664714,1.661307,1.660228,1.658998,1.665804,1.674622,1.677816,1.678297,1.675737,1.674781,1.661152,1.664403,1.662079,1.662852,1.670033,1.667365,1.666896,1.668619,1.659613,1.663317,1.664248,1.668148,1.665492,1.664403
923.482347,1.672261,1.669178,1.684664,1.685422,1.683906,1.691077,1.690002,1.690462,1.68527,1.691847,1.695562,1.691077,1.69401,1.69432,1.70293,1.68074,1.683302,1.68315,1.682999,1.676852,1.676852,1.682245,1.677895,1.68029,1.682547,1.684361,1.67939,1.675366,1.681191,1.681342,1.686943,1.687248,1.67999,1.686639,1.682999,1.683755,1.685726,1.68014,1.676257,1.68044,1.677746,1.67418,1.681041,1.684058,1.684512,1.686943,1.687553,1.695406,1.69077,1.695873,1.688317,1.692001,1.688164,1.687248,1.67999,1.684664,1.694165,1.678642,1.684512,1.682547,1.688776,1.68089,1.67999,1.686639,1.685422,1.683604
