Wavelength (nm),Absorbance (AU) 2024-10-02 00:00:02,Absorbance (AU) 2024-10-02 00:15:13,Absorbance (AU) 2024-10-02 00:30:24,Absorbance (AU) 2024-10-02 00:45:35,Absorbance (AU) 2024-10-02 01:00:46,Absorbance (AU) 2024-10-02 01:15:57,Absorbance (AU) 2024-10-02 01:31:09,Absorbance (AU) 2024-10-02 01:46:20,Absorbance (AU) 2024-10-02 02:01:32,Absorbance (AU) 2024-10-02 02:16:43,Absorbance (AU) 2024-10-02 02:31:55,Absorbance (AU) 2024-10-02 02:47:07,Absorbance (AU) 2024-10-02 03:02:19,Absorbance (AU) 2024-10-02 03:17:32,Absorbance (AU) 2024-10-02 03:32:44,Absorbance (AU) 2024-10-02 03:47:57,Absorbance (AU) 2024-10-02 04:03:09,Absorbance (AU) 2024-10-02 04:18:22,Absorbance (AU) 2024-10-02 04:33:35,Absorbance (AU) 2024-10-02 04:48:48,Absorbance (AU) 2024-10-02 05:04:01,Absorbance (AU) 2024-10-02 05:19:14,Absorbance (AU) 2024-10-02 05:34:27,Absorbance (AU) 2024-10-02 05:49:40,Absorbance (AU) 2024-10-02 06:04:54,Absorbance (AU) 2024-10-02 06:20:07,Absorbance (AU) 2024-10-02 06:35:21,Absorbance (AU) 2024-10-02 06:50:35,Absorbance (AU) 2024-10-02 07:05:49,Absorbance (AU) 2024-10-02 07:21:03,Absorbance (AU) 2024-10-02 07:36:17,Absorbance (AU) 2024-10-02 07:51:32,Absorbance (AU) 2024-10-02 08:06:46,Absorbance (AU) 2024-10-02 08:22:01,Absorbance (AU) 2024-10-02 08:37:16,Absorbance (AU) 2024-10-02 08:52:31,Absorbance (AU) 2024-10-02 09:07:46,Absorbance (AU) 2024-10-02 09:23:00,Absorbance (AU) 2024-10-02 09:38:16,Absorbance (AU) 2024-10-02 09:53:31,Absorbance (AU) 2024-10-02 10:08:46,Absorbance (AU) 2024-10-02 10:24:02,Absorbance (AU) 2024-10-02 10:39:17,Absorbance (AU) 2024-10-02 10:54:32,Absorbance (AU) 2024-10-02 11:09:48,Absorbance (AU) 2024-10-02 11:25:04,Absorbance (AU) 2024-10-02 11:40:20,Absorbance (AU) 2024-10-02 11:55:36,Absorbance (AU) 2024-10-02 12:10:52,Absorbance (AU) 2024-10-02 12:26:08,Absorbance (AU) 2024-10-02 12:41:25,Absorbance (AU) 2024-10-02 12:56:41,Absorbance (AU) 2024-10-02 13:11:58,Absorbance (AU) 2024-10-02 13:27:15,Absorbance (AU) 2024-10-02 13:42:32,Absorbance (AU) 2024-10-02 13:57:49,Absorbance (AU) 2024-10-02 14:13:07,Absorbance (AU) 2024-10-02 14:28:25,Absorbance (AU) 2024-10-02 14:43:42,Absorbance (AU) 2024-10-02 14:59:00,Absorbance (AU) 2024-10-02 15:14:18,Absorbance (AU) 2024-10-02 15:29:36,Absorbance (AU) 2024-10-02 15:44:54
901.841506,1.701636,1.696712,1.713686,1.708373,1.706616,1.699906,1.705116,1.707118,1.716496,1.70938,1.711908,1.726343,1.700153,1.701884,1.717009,1.706366,1.716752,1.712415,1.713941,1.714196,1.703621,1.714451,1.710895,1.721132,1.710895,1.713178,1.708625,1.711148,1.715217,1.716496,1.708876,1.714706,1.715728,1.719581,1.71039,1.718036,1.716752,1.728708,1.720874,1.717009,1.700153,1.713178,1.70938,1.712669,1.712923,1.716752,1.712415,1.705616,1.705366,1.709885,1.735882,1.752819,1.745089,1.746185,1.735079,1.724773,1.723991,1.722689,1.723209,1.730028,1.727655,1.732413,1.729764
904.394392,1.69567,1.692877,1.69497,1.698481,1.70202,1.709428,1.703682,1.713788,1.697307,1.702732,1.707025,1.710877,1.70392,1.709428,1.711603,1.705828,1.714275,1.700365,1.705111,1.710877,1.705589,1.707744,1.697776,1.70991,1.70991,1.706546,1.710152,1.707264,1.697542,1.710635,1.707744,1.703444,1.717455,1.702969,1.713545,1.718438,1.712815,1.707504,1.714519,1.708225,1.704873,1.702257,1.703682,1.700837,1.702732,1.696371,1.704635,1.710635,1.709187,1.702495,1.734479,1.745336,1.727639,1.728394,1.731426,1.732949,1.709187,1.715495,1.713301,1.71721,1.717946,1.719917,1.733968
905.670145,1.695763,1.697366,1.700821,1.697136,1.70711,1.697136,1.713253,1.699666,1.698514,1.705938,1.704537,1.704537,1.707345,1.694393,1.705471,1.694166,1.70059,1.70711,1.706641,1.703837,1.707814,1.70407,1.702907,1.709698,1.70059,1.707579,1.702907,1.699205,1.70407,1.706641,1.698054,1.701979,1.713968,1.705938,1.702443,1.70221,1.706875,1.710171,1.715879,1.698054,1.698744,1.701747,1.698514,1.70477,1.70221,1.694166,1.692574,1.703837,1.701979,1.701052,1.733219,1.736973,1.740505,1.725563,1.725808,1.70852,1.706172,1.707345,1.703837,1.711591,1.709227,1.720694,1.725563
908.220269,1.684303,1.70012,1.692248,1.696166,1.689009,1.695729,1.69748,1.701225,1.686222,1.699679,1.694203,1.696823,1.697261,1.702999,1.695074,1.701889,1.698578,1.70612,1.707465,1.699459,1.700783,1.706792,1.695729,1.699459,1.690949,1.692681,1.687506,1.690733,1.696604,1.695729,1.697261,1.6999,1.702111,1.705449,1.702333,1.703221,1.696604,1.707016,1.709715,1.70012,1.694203,1.702555,1.696385,1.710392,1.696823,1.701004,1.698798,1.690949,1.695292,1.698139,1.720913,1.729092,1.731457,1.737668,1.72184,1.711977,1.706344,1.699459,1.711977,1.703221,1.70478,1.719526,1.722536
910.768552,1.685368,1.68354,1.692136,1.692757,1.691723,1.676505,1.68354,1.688637,1.686591,1.693586,1.693793,1.697963,1.695873,1.692136,1.691517,1.686387,1.692136,1.69193,1.689047,1.699222,1.690692,1.700063,1.692343,1.690692,1.680109,1.689663,1.695248,1.688637,1.693793,1.694832,1.700906,1.689869,1.699222,1.693793,1.694832,1.696499,1.695248,1.691517,1.694001,1.69629,1.694001,1.685979,1.695248,1.695248,1.698802,1.688432,1.686795,1.692964,1.684961,1.694209,1.721642,1.733757,1.721642,1.727882,1.715273,1.700063,1.704932,1.694416,1.704082,1.703869,1.705358,1.713098,1.718995
913.314994,1.676696,1.681473,1.68611,1.682243,1.682243,1.679939,1.683206,1.683592,1.686304,1.682435,1.6906,1.692173,1.680514,1.682821,1.683399,1.689425,1.687472,1.683592,1.695336,1.688252,1.691583,1.694939,1.689229,1.692765,1.688642,1.693554,1.688838,1.691583,1.685528,1.687862,1.697923,1.692765,1.69237,1.684946,1.695932,1.688252,1.693554,1.694543,1.691779,1.683592,1.689033,1.68611,1.681473,1.68962,1.686499,1.683206,1.685528,1.678219,1.686693,1.68514,1.713569,1.726378,1.725526,1.714398,1.720662,1.707814,1.699923,1.691779,1.692962,1.697524,1.702538,1.712949,1.716893
915.859594,1.68092,1.679833,1.676408,1.680557,1.68365,1.687316,1.685662,1.688053,1.685479,1.6875,1.6912,1.695305,1.68438,1.686764,1.687684,1.697373,1.698316,1.688791,1.692875,1.698883,1.696432,1.693061,1.689716,1.69775,1.692688,1.696808,1.688791,1.694556,1.688053,1.697562,1.695681,1.689161,1.692315,1.701728,1.690272,1.70249,1.700588,1.696056,1.696432,1.692315,1.693995,1.688422,1.68365,1.690457,1.690086,1.681646,1.685662,1.680557,1.684746,1.688791,1.711155,1.731664,1.72099,1.716045,1.719203,1.694743,1.7023,1.700588,1.692502,1.701348,1.701728,1.709021,1.719005
918.402353,1.682507,1.690664,1.685267,1.689789,1.686306,1.687522,1.691366,1.691015,1.686827,1.69862,1.698263,1.695952,1.691015,1.686653,1.692948,1.695597,1.695066,1.698799,1.694182,1.68787,1.697729,1.699334,1.69862,1.69862,1.693124,1.692596,1.696129,1.687174,1.692244,1.696662,1.699692,1.693476,1.700767,1.697017,1.694359,1.699692,1.696129,1.699513,1.69862,1.699334,1.695066,1.692596,1.691015,1.684058,1.689964,1.694006,1.691541,1.696484,1.687001,1.691892,1.723969,1.732951,1.723402,1.73064,1.716468,1.712581,1.71111,1.705817,1.702203,1.709277,1.70946,1.713319,1.716654
920.943271,1.691656,1.694644,1.697653,1.699671,1.697989,1.694811,1.696313,1.697821,1.702884,1.706636,1.704415,1.709384,1.69715,1.699839,1.696313,1.709557,1.702036,1.709557,1.703224,1.703054,1.700514,1.703734,1.704756,1.705097,1.702715,1.706122,1.706464,1.708696,1.696648,1.701698,1.709557,1.704074,1.704074,1.713714,1.717561,1.709212,1.706636,1.713366,1.710938,1.703734,1.704415,1.696982,1.707836,1.70119,1.701698,1.700683,1.693812,1.703224,1.699839,1.703054,1.733114,1.741384,1.741384,1.733297,1.731842,1.715633,1.716859,1.71354,1.717385,1.718616,1.720203,1.725357,1.729128
923.482347,1.716091,1.715928,1.708339,1.720184,1.724317,1.714789,1.718542,1.720843,1.714627,1.725148,1.721833,1.723819,1.720514,1.718215,1.714789,1.716743,1.716907,1.723321,1.722494,1.722659,1.721502,1.729496,1.726314,1.733888,1.722328,1.724317,1.723321,1.728153,1.714302,1.721667,1.724981,1.727149,1.727818,1.726982,1.728321,1.728489,1.733209,1.728992,1.730337,1.721337,1.722328,1.721173,1.719691,1.719691,1.719691,1.722824,1.721833,1.722328,1.723819,1.723653,1.750148,1.76906,1.757973,1.752268,1.747512,1.732362,1.733379,1.738668,1.728656,1.738325,1.741078,1.74874,1.750148
