Wavelength (nm),Absorbance (AU) 2024-10-04 00:02:11,Absorbance (AU) 2024-10-04 00:17:17,Absorbance (AU) 2024-10-04 00:32:23,Absorbance (AU) 2024-10-04 00:47:28,Absorbance (AU) 2024-10-04 01:02:34,Absorbance (AU) 2024-10-04 01:17:40,Absorbance (AU) 2024-10-04 01:32:46,Absorbance (AU) 2024-10-04 01:47:52,Absorbance (AU) 2024-10-04 02:02:58,Absorbance (AU) 2024-10-04 02:18:03,Absorbance (AU) 2024-10-04 02:33:09,Absorbance (AU) 2024-10-04 02:48:15,Absorbance (AU) 2024-10-04 03:03:21,Absorbance (AU) 2024-10-04 03:18:27,Absorbance (AU) 2024-10-04 03:33:33,Absorbance (AU) 2024-10-04 03:48:38,Absorbance (AU) 2024-10-04 04:03:44,Absorbance (AU) 2024-10-04 04:18:50,Absorbance (AU) 2024-10-04 04:33:56,Absorbance (AU) 2024-10-04 04:49:02,Absorbance (AU) 2024-10-04 05:04:07,Absorbance (AU) 2024-10-04 05:19:13,Absorbance (AU) 2024-10-04 05:34:19,Absorbance (AU) 2024-10-04 05:49:25,Absorbance (AU) 2024-10-04 06:04:31,Absorbance (AU) 2024-10-04 06:19:36,Absorbance (AU) 2024-10-04 06:34:42,Absorbance (AU) 2024-10-04 06:49:48,Absorbance (AU) 2024-10-04 07:04:54,Absorbance (AU) 2024-10-04 07:20:00,Absorbance (AU) 2024-10-04 07:35:06,Absorbance (AU) 2024-10-04 07:50:11,Absorbance (AU) 2024-10-04 08:05:17,Absorbance (AU) 2024-10-04 08:20:23,Absorbance (AU) 2024-10-04 08:35:29,Absorbance (AU) 2024-10-04 08:50:35,Absorbance (AU) 2024-10-04 09:05:41,Absorbance (AU) 2024-10-04 09:20:47,Absorbance (AU) 2024-10-04 09:35:52,Absorbance (AU) 2024-10-04 09:50:58,Absorbance (AU) 2024-10-04 10:06:04,Absorbance (AU) 2024-10-04 10:21:10,Absorbance (AU) 2024-10-04 10:36:16,Absorbance (AU) 2024-10-04 10:51:22,Absorbance (AU) 2024-10-04 11:06:27,Absorbance (AU) 2024-10-04 11:21:33,Absorbance (AU) 2024-10-04 11:36:39,Absorbance (AU) 2024-10-04 11:51:45,Absorbance (AU) 2024-10-04 12:06:51,Absorbance (AU) 2024-10-04 12:21:57,Absorbance (AU) 2024-10-04 12:37:02,Absorbance (AU) 2024-10-04 12:52:08,Absorbance (AU) 2024-10-04 13:07:14,Absorbance (AU) 2024-10-04 13:22:20,Absorbance (AU) 2024-10-04 13:37:26,Absorbance (AU) 2024-10-04 13:52:32,Absorbance (AU) 2024-10-04 14:07:38,Absorbance (AU) 2024-10-04 14:22:44,Absorbance (AU) 2024-10-04 14:37:49,Absorbance (AU) 2024-10-04 14:52:55,Absorbance (AU) 2024-10-04 15:08:01,Absorbance (AU) 2024-10-04 15:23:07,Absorbance (AU) 2024-10-04 15:38:13,Absorbance (AU) 2024-10-04 15:53:19,Absorbance (AU) 2024-10-04 16:08:25,Absorbance (AU) 2024-10-04 16:23:30,Absorbance (AU) 2024-10-04 16:38:36,Absorbance (AU) 2024-10-04 16:53:42
901.841506,1.660108,1.65876,1.667369,1.657864,1.655854,1.674987,1.675453,1.665999,1.664632,1.677556,1.685117,1.665087,1.670354,1.684879,1.684641,1.680612,1.677088,1.681556,1.680612,1.67662,1.686311,1.67662,1.688707,1.679905,1.683214,1.672201,1.659658,1.680612,1.670124,1.673592,1.677556,1.672433,1.670124,1.672896,1.68274,1.674754,1.66486,1.676386,1.666912,1.665087,1.665771,1.6563,1.671277,1.675686,1.666227,1.670354,1.659434,1.669434,1.664405,1.664178,1.661235,1.661235,1.668974,1.680848,1.667141,1.679669,1.678025,1.678025,1.671046,1.673128,1.67662,1.677556,1.672201,1.678494,1.678259,1.683214,1.680848,1.678259
904.394392,1.650053,1.651949,1.663719,1.660692,1.654277,1.663936,1.665676,1.664805,1.674481,1.673148,1.66633,1.656832,1.670937,1.67182,1.668957,1.661555,1.671599,1.66786,1.670056,1.678726,1.665458,1.669616,1.669836,1.671158,1.668518,1.670276,1.648584,1.671379,1.66524,1.675594,1.670496,1.660047,1.676263,1.668298,1.669176,1.665894,1.673592,1.662852,1.668737,1.656832,1.644414,1.656832,1.665894,1.665894,1.660908,1.650263,1.654702,1.656405,1.658972,1.662203,1.660047,1.654702,1.663069,1.669616,1.658543,1.675817,1.667641,1.666985,1.664153,1.665894,1.670937,1.662636,1.683695,1.668737,1.672927,1.671379,1.675148,1.680301
905.670145,1.651677,1.651884,1.664035,1.658336,1.65209,1.649001,1.658966,1.659176,1.660228,1.668735,1.667448,1.653955,1.672402,1.672619,1.675663,1.670241,1.66938,1.670888,1.670888,1.667877,1.66938,1.666806,1.665739,1.670241,1.670241,1.666593,1.65044,1.665525,1.665739,1.672185,1.665952,1.66938,1.661704,1.677413,1.666806,1.661704,1.662339,1.660228,1.664461,1.658966,1.646341,1.647157,1.655619,1.657498,1.650852,1.644712,1.645525,1.652918,1.663611,1.662551,1.659386,1.65354,1.658756,1.673269,1.660017,1.665739,1.673269,1.659596,1.666806,1.666806,1.661704,1.670026,1.667663,1.672835,1.671969,1.670888,1.680712,1.681596
908.220269,1.652513,1.64838,1.64936,1.647206,1.651723,1.6539,1.656088,1.651328,1.65549,1.657886,1.665562,1.648772,1.651328,1.662516,1.668425,1.660698,1.663529,1.660497,1.663123,1.660497,1.662718,1.666787,1.662718,1.662516,1.661101,1.656487,1.642736,1.651525,1.658688,1.658287,1.664748,1.654495,1.664748,1.656686,1.661101,1.663326,1.650343,1.656088,1.654893,1.657286,1.636592,1.640806,1.654893,1.652909,1.657886,1.640999,1.647597,1.654893,1.650146,1.653305,1.654893,1.655888,1.657086,1.654694,1.650343,1.654098,1.664544,1.660295,1.662921,1.661303,1.661909,1.668015,1.661909,1.659692,1.666582,1.671306,1.669452,1.669452
910.768552,1.636165,1.647953,1.645347,1.643125,1.641835,1.651703,1.648326,1.64702,1.650387,1.657009,1.650199,1.641835,1.649075,1.657009,1.654917,1.654158,1.66007,1.655486,1.659686,1.658728,1.661801,1.661416,1.662573,1.66238,1.657009,1.649824,1.632906,1.661223,1.656628,1.658537,1.654158,1.642572,1.649637,1.663346,1.660262,1.651892,1.653024,1.653591,1.645904,1.6487,1.640548,1.640548,1.651703,1.647766,1.6487,1.636892,1.64368,1.639631,1.645532,1.641835,1.64702,1.64331,1.650199,1.653402,1.649449,1.65208,1.6572,1.660262,1.653402,1.656247,1.656437,1.652835,1.662766,1.651515,1.653024,1.66007,1.668797,1.67392
913.314994,1.632977,1.635908,1.640255,1.634526,1.637642,1.643941,1.644823,1.641656,1.64078,1.649976,1.650512,1.635389,1.653565,1.662118,1.656095,1.651766,1.652845,1.654467,1.654286,1.657184,1.654467,1.654286,1.651408,1.651228,1.657911,1.64837,1.637642,1.650691,1.65087,1.659553,1.652126,1.647125,1.647125,1.649261,1.654106,1.642007,1.649797,1.64944,1.645353,1.641305,1.639906,1.639557,1.639731,1.638337,1.642885,1.642007,1.635562,1.637989,1.640605,1.645884,1.636427,1.635908,1.653745,1.653205,1.644647,1.648905,1.656639,1.647658,1.647836,1.64837,1.651049,1.652665,1.652485,1.649976,1.657729,1.656639,1.665995,1.670656
915.859594,1.63844,1.638605,1.639923,1.63844,1.646577,1.651634,1.644403,1.647415,1.644236,1.649098,1.648593,1.638934,1.649435,1.654356,1.654527,1.65521,1.654186,1.665067,1.656752,1.649773,1.657611,1.654527,1.655039,1.657267,1.66089,1.651974,1.636798,1.649942,1.655895,1.659161,1.652653,1.649773,1.651634,1.64893,1.649942,1.640419,1.647248,1.655039,1.645405,1.651295,1.642572,1.634999,1.645572,1.647248,1.649773,1.63729,1.642738,1.641743,1.64893,1.646912,1.648088,1.64224,1.651465,1.657439,1.65028,1.655724,1.657955,1.656409,1.64457,1.660197,1.653845,1.658816,1.655039,1.656409,1.665067,1.661583,1.660716,1.660024
918.402353,1.635154,1.641834,1.645766,1.648301,1.648142,1.653255,1.648142,1.655835,1.657942,1.659733,1.663008,1.648301,1.664325,1.661531,1.666474,1.666971,1.660876,1.662515,1.66482,1.664325,1.66104,1.667469,1.667801,1.662023,1.662679,1.663666,1.644504,1.658429,1.660713,1.662679,1.655188,1.658918,1.653255,1.64846,1.661203,1.653577,1.657942,1.655835,1.653577,1.656644,1.644189,1.64545,1.653095,1.653738,1.659733,1.640271,1.647825,1.646082,1.649415,1.651811,1.652934,1.644662,1.657617,1.66416,1.653738,1.659896,1.654866,1.664325,1.66416,1.665481,1.661859,1.661695,1.668467,1.666971,1.663172,1.667137,1.667469,1.66515
920.943271,1.656703,1.655331,1.659459,1.659152,1.660536,1.663007,1.665804,1.664559,1.66069,1.672243,1.66909,1.657926,1.677015,1.670821,1.6791,1.670348,1.668776,1.674781,1.672243,1.672876,1.671294,1.673351,1.674941,1.677495,1.674622,1.674781,1.655027,1.665025,1.664714,1.678618,1.676056,1.663937,1.670821,1.669404,1.675897,1.663317,1.668148,1.668776,1.667209,1.66596,1.657008,1.662543,1.663627,1.664714,1.669876,1.649887,1.65594,1.661307,1.662697,1.658692,1.663937,1.660228,1.668619,1.670663,1.672401,1.668776,1.666896,1.672084,1.666584,1.671768,1.670191,1.675897,1.672559,1.679421,1.669719,1.682488,1.683948,1.682974
923.482347,1.679241,1.68014,1.68014,1.682848,1.682999,1.679091,1.68059,1.681041,1.688623,1.695717,1.688776,1.676257,1.696807,1.699465,1.701667,1.686334,1.694941,1.693855,1.695251,1.700093,1.70214,1.698369,1.701194,1.696963,1.701352,1.688776,1.672703,1.687553,1.691231,1.698995,1.690155,1.681041,1.683906,1.694475,1.698212,1.68089,1.685574,1.686943,1.682396,1.687553,1.67418,1.676703,1.676703,1.687096,1.681793,1.673737,1.675514,1.679241,1.682848,1.682547,1.683453,1.675069,1.687553,1.692156,1.682999,1.698056,1.692619,1.70025,1.687706,1.690462,1.695562,1.690002,1.69401,1.695096,1.695717,1.695873,1.7069,1.704672
