Wavelength (nm),Absorbance (AU) 2024-10-10 13:32:30,Absorbance (AU) 2024-10-10 13:47:37,Absorbance (AU) 2024-10-10 14:02:43,Absorbance (AU) 2024-10-10 14:17:49
901.841506,1.648562,1.639026,1.644418,1.647031
904.394392,1.639052,1.644829,1.641518,1.652794
905.670145,1.631699,1.632489,1.641069,1.636259
908.220269,1.637928,1.625487,1.640229,1.642929
910.768552,1.618363,1.632005,1.629135,1.637621
913.314994,1.628191,1.623626,1.623626,1.626325
915.859594,1.630776,1.623246,1.633695,1.638605
918.402353,1.636544,1.640428,1.637783,1.639648
920.943271,1.643769,1.647191,1.651091,1.659152
923.482347,1.660202,1.671525,1.670643,1.671966
926.019582,1.690275,1.69157,1.696641,1.694025
928.554976,1.715679,1.71425,1.723475,1.721585
931.088528,1.744009,1.744732,1.748508,1.744154
933.620239,1.771033,1.772641,1.779434,1.781373
936.150109,1.797606,1.799094,1.798945,1.806007
938.678137,1.825524,1.823546,1.828124,1.836957
941.204324,1.850342,1.847843,1.854433,1.853328
943.72867,1.866445,1.876223,1.876385,1.873314
946.251174,1.891069,1.893701,1.892055,1.892713
948.771837,1.898669,1.905096,1.900308,1.911451
951.290658,1.905483,1.908262,1.913376,1.921247
953.807639,1.919223,1.913973,1.923037,1.927724
956.322778,1.918932,1.92186,1.929769,1.923005
958.836075,1.92369,1.921599,1.927576,1.934132
961.347531,1.922242,1.922084,1.926049,1.92573
963.857146,1.914154,1.923087,1.922775,1.930146
966.36492,1.920033,1.918667,1.928627,1.926925
968.870852,1.916606,1.925292,1.923782,1.927871
971.374943,1.918553,1.920022,1.924309,1.925798
973.877192,1.918566,1.912829,1.922045,1.921173
976.3776,1.906836,1.908639,1.914941,1.918481
978.876167,1.901299,1.90645,1.911663,1.913461
981.372892,1.904358,1.902355,1.907583,1.910289
983.867776,1.892352,1.900006,1.903423,1.902632
986.360819,1.892847,1.889805,1.896424,1.893229
987.60665,1.890808,1.893333,1.892069,1.889175
990.096931,1.88493,1.880772,1.885791,1.890247
992.58537,1.876078,1.874887,1.880514,1.880634
995.071968,1.872246,1.866301,1.873775,1.877442
997.556725,1.866657,1.863562,1.869427,1.870935
1000.03964,1.859905,1.852762,1.862275,1.863635
1002.520714,1.849622,1.846573,1.855121,1.854347
1004.999947,1.846657,1.842679,1.847197,1.851763
1007.477338,1.837896,1.833073,1.839269,1.844911
1009.952888,1.830921,1.831335,1.828548,1.832995
1012.426597,1.823377,1.82287,1.824393,1.825513
1014.898464,1.817104,1.813224,1.818205,1.821221
1017.36849,1.806846,1.805774,1.811949,1.815319
1019.836674,1.802062,1.799368,1.807502,1.8076
1022.303017,1.799223,1.791708,1.795783,1.797213
1024.767519,1.789279,1.787032,1.794092,1.793618
1027.23018,1.780686,1.782997,1.7856,1.788407
1029.690999,1.77642,1.77807,1.782038,1.783896
1032.149977,1.771453,1.769914,1.77537,1.778124
1034.607113,1.767556,1.764056,1.768639,1.771357
1037.062409,1.762042,1.76133,1.761686,1.765713
1039.515862,1.757602,1.756278,1.761332,1.762851
1041.967475,1.753008,1.751169,1.756002,1.762232
1044.417246,1.748958,1.749394,1.753869,1.755283
1046.865176,1.746562,1.746214,1.747345,1.75472
1049.311264,1.74473,1.744904,1.749699,1.750665
1051.755511,1.743021,1.741553,1.745622,1.745796
1054.197917,1.740206,1.740723,1.743056,1.749428
1056.638481,1.742265,1.734875,1.741399,1.744263
1059.077204,1.74134,1.736857,1.746483,1.744471
1061.514086,1.739933,1.737431,1.744106,1.746558
1063.949127,1.739221,1.737666,1.743393,1.748048
1066.382326,1.74351,1.740115,1.741244,1.745349
1067.598235,1.739482,1.738358,1.742087,1.745673
1070.028672,1.739061,1.738888,1.746038,1.750012
1072.457267,1.744837,1.743351,1.743613,1.747649
1074.884022,1.742452,1.746121,1.746912,1.748497
1077.308934,1.745157,1.747608,1.749808,1.749014
1079.732006,1.751583,1.747104,1.750965,1.754417
1082.153236,1.75232,1.75648,1.755591,1.760231
1084.572625,1.754337,1.7569,1.763779,1.764861
1086.990173,1.760598,1.757847,1.765612,1.767597
1089.405879,1.766271,1.763319,1.769604,1.772053
1091.819744,1.772314,1.773492,1.773674,1.777412
1094.231768,1.779834,1.775465,1.778464,1.783325
1096.64195,1.781218,1.781857,1.788391,1.788948
1099.050291,1.787023,1.78519,1.791547,1.791732
1101.45679,1.796039,1.791222,1.797439,1.800252
1103.861448,1.803428,1.800894,1.803333,1.804464
1106.264265,1.809101,1.808061,1.813096,1.815203
