Wavelength (nm),Absorbance (AU) 2024-10-30 00:00:06,Absorbance (AU) 2024-10-30 00:16:17,Absorbance (AU) 2024-10-30 00:31:23,Absorbance (AU) 2024-10-30 00:46:29,Absorbance (AU) 2024-10-30 01:01:35,Absorbance (AU) 2024-10-30 01:16:41,Absorbance (AU) 2024-10-30 01:31:47,Absorbance (AU) 2024-10-30 01:46:53,Absorbance (AU) 2024-10-30 02:01:59,Absorbance (AU) 2024-10-30 02:17:04,Absorbance (AU) 2024-10-30 02:32:10,Absorbance (AU) 2024-10-30 02:47:16,Absorbance (AU) 2024-10-30 03:02:23,Absorbance (AU) 2024-10-30 03:17:29,Absorbance (AU) 2024-10-30 03:32:35,Absorbance (AU) 2024-10-30 03:47:40,Absorbance (AU) 2024-10-30 04:02:47,Absorbance (AU) 2024-10-30 04:17:52,Absorbance (AU) 2024-10-30 04:32:58,Absorbance (AU) 2024-10-30 04:48:04,Absorbance (AU) 2024-10-30 05:03:10,Absorbance (AU) 2024-10-30 05:18:17,Absorbance (AU) 2024-10-30 05:33:23,Absorbance (AU) 2024-10-30 05:48:29,Absorbance (AU) 2024-10-30 06:03:35,Absorbance (AU) 2024-10-30 06:18:40,Absorbance (AU) 2024-10-30 06:33:47,Absorbance (AU) 2024-10-30 06:48:52,Absorbance (AU) 2024-10-30 07:03:59,Absorbance (AU) 2024-10-30 07:19:05,Absorbance (AU) 2024-10-30 07:34:10,Absorbance (AU) 2024-10-30 07:49:16,Absorbance (AU) 2024-10-30 08:04:22,Absorbance (AU) 2024-10-30 08:19:28,Absorbance (AU) 2024-10-30 08:34:34,Absorbance (AU) 2024-10-30 08:49:40,Absorbance (AU) 2024-10-30 09:04:46,Absorbance (AU) 2024-10-30 09:19:52,Absorbance (AU) 2024-10-30 09:34:58,Absorbance (AU) 2024-10-30 09:50:04,Absorbance (AU) 2024-10-30 10:05:10,Absorbance (AU) 2024-10-30 10:20:16,Absorbance (AU) 2024-10-30 10:35:22,Absorbance (AU) 2024-10-30 10:50:28,Absorbance (AU) 2024-10-30 11:05:34,Absorbance (AU) 2024-10-30 11:20:40,Absorbance (AU) 2024-10-30 11:35:46,Absorbance (AU) 2024-10-30 11:50:52,Absorbance (AU) 2024-10-30 12:05:58,Absorbance (AU) 2024-10-30 12:21:04,Absorbance (AU) 2024-10-30 12:36:10,Absorbance (AU) 2024-10-30 12:51:16,Absorbance (AU) 2024-10-30 13:06:22,Absorbance (AU) 2024-10-30 13:21:28,Absorbance (AU) 2024-10-30 13:36:34,Absorbance (AU) 2024-10-30 13:51:40,Absorbance (AU) 2024-10-30 14:06:46,Absorbance (AU) 2024-10-30 14:21:52,Absorbance (AU) 2024-10-30 14:36:58,Absorbance (AU) 2024-10-30 14:52:04,Absorbance (AU) 2024-10-30 15:07:10,Absorbance (AU) 2024-10-30 15:22:16,Absorbance (AU) 2024-10-30 15:37:22,Absorbance (AU) 2024-10-30 15:52:28,Absorbance (AU) 2024-10-30 16:07:34,Absorbance (AU) 2024-10-30 16:22:40,Absorbance (AU) 2024-10-30 16:37:46,Absorbance (AU) 2024-10-30 16:52:52,Absorbance (AU) 2024-10-30 17:07:58
901.841506,1.706616,1.698429,1.687268,1.700894,1.69966,1.701388,1.708876,1.709128,1.702876,1.709128,1.712669,1.715217,1.719066,1.710642,1.712923,1.728445,1.707619,1.717522,1.706116,1.716496,1.715984,1.726605,1.712162,1.72373,1.72373,1.718808,1.724773,1.719581,1.713686,1.726605,1.72373,1.731352,1.731352,1.724773,1.719323,1.726868,1.72713,1.725819,1.731882,1.725557,1.72217,1.732679,1.722689,1.728972,1.727393,1.728972,1.723991,1.727655,1.733212,1.732148,1.727918,1.731882,1.732148,1.723991,1.725819,1.733478,1.727918,1.7295,1.731352,1.727918,1.732413,1.720356,1.738031,1.714961,1.724773,1.725034,1.723209,1.718293,1.718808
904.394392,1.691719,1.690794,1.696137,1.705111,1.70535,1.697073,1.706546,1.710393,1.705111,1.707744,1.70991,1.705111,1.705589,1.706546,1.706067,1.708946,1.715495,1.712087,1.700365,1.710877,1.711603,1.71721,1.700129,1.708706,1.707744,1.715495,1.726635,1.715007,1.715495,1.716229,1.727137,1.721401,1.71721,1.719424,1.719177,1.719424,1.714519,1.726134,1.724883,1.718192,1.724634,1.728646,1.718684,1.719917,1.731172,1.723636,1.722641,1.72289,1.724135,1.720906,1.726134,1.73016,1.717946,1.723139,1.725883,1.721649,1.727137,1.716229,1.713301,1.721153,1.716964,1.708706,1.724135,1.71721,1.71721,1.721649,1.723139,1.716719,1.712573
905.670145,1.703837,1.696907,1.696907,1.697136,1.704303,1.710171,1.692801,1.697825,1.693483,1.697595,1.703605,1.705704,1.707345,1.692801,1.703139,1.705938,1.709698,1.703372,1.707814,1.706641,1.710171,1.710171,1.714206,1.711354,1.707814,1.71828,1.7154,1.713491,1.70852,1.716838,1.718039,1.721421,1.714445,1.720452,1.725073,1.708049,1.719003,1.712303,1.721178,1.718521,1.717799,1.720452,1.722149,1.719727,1.730239,1.735217,1.722878,1.723365,1.715879,1.71564,1.718762,1.727526,1.723609,1.72434,1.723852,1.723121,1.722635,1.719968,1.721178,1.71564,1.71564,1.718039,1.719727,1.724585,1.705003,1.721906,1.708285,1.709463,1.717558
908.220269,1.681757,1.680068,1.68772,1.68815,1.695292,1.699459,1.684303,1.693116,1.692681,1.689009,1.705226,1.693767,1.700341,1.706792,1.699459,1.705226,1.696604,1.706344,1.700562,1.701225,1.705003,1.702999,1.70994,1.709264,1.710166,1.705896,1.710166,1.703221,1.709715,1.713795,1.707465,1.701668,1.70612,1.715392,1.712431,1.709715,1.709489,1.716307,1.711977,1.71334,1.712431,1.717914,1.710392,1.726036,1.714251,1.719295,1.716536,1.716536,1.710166,1.712658,1.722769,1.713567,1.706792,1.716766,1.714251,1.714479,1.717454,1.719988,1.714935,1.716536,1.715849,1.717224,1.709489,1.719065,1.707465,1.717224,1.703666,1.714251,1.712885
910.768552,1.685368,1.68031,1.694001,1.683743,1.681519,1.69193,1.680511,1.684758,1.684758,1.697126,1.692757,1.690074,1.701328,1.694832,1.693379,1.694832,1.699642,1.691104,1.697754,1.695248,1.698173,1.697335,1.701117,1.704932,1.70472,1.708781,1.699222,1.697754,1.700695,1.708138,1.707495,1.705572,1.710072,1.69504,1.700906,1.707495,1.701539,1.711366,1.708138,1.710935,1.713098,1.710503,1.714184,1.70472,1.709426,1.705358,1.71462,1.716583,1.71375,1.699432,1.708567,1.710935,1.720096,1.706425,1.708567,1.711799,1.712232,1.713315,1.703657,1.706212,1.706639,1.705358,1.706639,1.71115,1.697544,1.700274,1.697963,1.708138,1.709857
913.314994,1.683399,1.676886,1.676126,1.687277,1.681858,1.68205,1.685334,1.689816,1.689425,1.683786,1.692567,1.686693,1.69237,1.695733,1.692962,1.693159,1.699923,1.691583,1.693554,1.682435,1.698922,1.696727,1.70274,1.696329,1.694543,1.697923,1.695138,1.701128,1.694147,1.703143,1.703143,1.697125,1.701732,1.698922,1.710477,1.705981,1.709656,1.700726,1.697923,1.709861,1.710477,1.704965,1.708223,1.706591,1.708019,1.703345,1.706795,1.707406,1.701128,1.718983,1.711505,1.708019,1.702538,1.704357,1.698922,1.704965,1.711094,1.70761,1.70761,1.700927,1.712536,1.707202,1.710271,1.708223,1.708019,1.702135,1.699723,1.70375,1.700525
915.859594,1.681646,1.692315,1.680195,1.689161,1.680014,1.689716,1.685296,1.681464,1.689531,1.705359,1.6875,1.690457,1.695305,1.699451,1.693808,1.691571,1.700588,1.701538,1.69775,1.700019,1.703254,1.702681,1.70249,1.69964,1.712714,1.704592,1.70999,1.700398,1.703254,1.703063,1.702681,1.709215,1.707669,1.708248,1.709021,1.716635,1.711155,1.704401,1.70999,1.706897,1.712129,1.709408,1.711544,1.711934,1.713495,1.711739,1.712519,1.70999,1.711155,1.70709,1.709215,1.713105,1.711739,1.713691,1.717424,1.706512,1.718609,1.708828,1.709021,1.706897,1.708634,1.704592,1.705168,1.711155,1.713691,1.715652,1.714474,1.710961,1.700778
918.402353,1.692948,1.687174,1.68596,1.683885,1.696662,1.691892,1.689265,1.697729,1.705273,1.701664,1.700767,1.709094,1.703104,1.694359,1.697729,1.699871,1.704729,1.709826,1.712581,1.704729,1.702024,1.707634,1.701844,1.705092,1.71111,1.708546,1.710926,1.70946,1.712213,1.707817,1.712397,1.711477,1.71591,1.713688,1.70946,1.71684,1.714243,1.712765,1.714243,1.712397,1.714058,1.721705,1.719453,1.714058,1.714428,1.718705,1.71964,1.72227,1.724537,1.713873,1.713873,1.724537,1.720765,1.718518,1.72378,1.716468,1.722081,1.720953,1.714613,1.71295,1.722458,1.720202,1.727387,1.709826,1.711845,1.713134,1.723213,1.712029,1.71111
920.943271,1.703734,1.706122,1.700345,1.702715,1.704927,1.711111,1.703564,1.711284,1.716333,1.716684,1.709729,1.713714,1.711977,1.708524,1.711457,1.716684,1.719321,1.718968,1.712845,1.718616,1.725357,1.720026,1.716859,1.723573,1.722861,1.725536,1.715459,1.723395,1.71985,1.721087,1.722684,1.724643,1.715633,1.720557,1.722151,1.730574,1.726073,1.730031,1.731117,1.737505,1.722328,1.72679,1.727149,1.729128,1.736403,1.730936,1.733297,1.730936,1.733661,1.722506,1.723573,1.732205,1.730936,1.729128,1.719673,1.732751,1.732205,1.731479,1.734573,1.730936,1.718264,1.728588,1.725536,1.724643,1.724108,1.725536,1.726073,1.72091,1.724108
923.482347,1.728489,1.724317,1.724815,1.723653,1.725314,1.73287,1.733209,1.727986,1.732362,1.73118,1.729328,1.73,1.735759,1.735759,1.742115,1.731349,1.734397,1.739527,1.73781,1.742461,1.741423,1.74056,1.73593,1.743501,1.747162,1.742288,1.740215,1.746287,1.749619,1.750853,1.744544,1.741942,1.745763,1.74437,1.747512,1.746812,1.746462,1.748038,1.750677,1.752091,1.747162,1.75103,1.74874,1.751206,1.750324,1.750853,1.755825,1.754755,1.753865,1.752091,1.749443,1.752445,1.746462,1.757077,1.756898,1.751206,1.748038,1.752091,1.753509,1.755289,1.749443,1.747687,1.75103,1.75156,1.743154,1.752268,1.748564,1.749091,1.743848
